[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.002175s ]
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | SQL: SELECT COUNT(id) AS tp_count FROM `user` WHERE ( `id` >= 2 ) AND ( `account` LIKE '%%' ) LIMIT 1   [ RunTime:0.010961s ]
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | SQL: SELECT * FROM `user` WHERE ( `id` >= 2 ) AND ( `account` LIKE '%%' ) ORDER BY `id` desc LIMIT 0,20   [ RunTime:0.000408s ]
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | INFO: Tag[ view_template ] --START--
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | INFO: Run LocationTemplate Behavior [ RunTime:0.000883s ]
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001053s ]
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | INFO: Tag[ view_parse ] --START--
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | NOTIC: [8] Undefined index: _order b281e7303a51708a2850bfab05f89f50.php 第 3 行.
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | NOTIC: [8] Undefined index: _sort b281e7303a51708a2850bfab05f89f50.php 第 4 行.
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | NOTIC: [8] Undefined index: _order b281e7303a51708a2850bfab05f89f50.php 第 41 行.
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | NOTIC: [8] Undefined index: _order b281e7303a51708a2850bfab05f89f50.php 第 42 行.
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | NOTIC: [8] Undefined index: _order b281e7303a51708a2850bfab05f89f50.php 第 43 行.
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | NOTIC: [8] Undefined index: _order b281e7303a51708a2850bfab05f89f50.php 第 44 行.
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | NOTIC: [8] Undefined index: _order b281e7303a51708a2850bfab05f89f50.php 第 45 行.
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | NOTIC: [8] Undefined index: _order b281e7303a51708a2850bfab05f89f50.php 第 46 行.
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | NOTIC: [8] Undefined index: _order b281e7303a51708a2850bfab05f89f50.php 第 47 行.
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | INFO: Run ParseTemplate Behavior [ RunTime:0.039329s ]
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.039502s ]
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | INFO: Tag[ view_filter ] --START--
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | INFO: Run ContentReplace Behavior [ RunTime:0.000571s ]
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | INFO: Run TokenBuild Behavior [ RunTime:0.000798s ]
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000400s ]
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | INFO: Run ShowRuntime Behavior [ RunTime:0.001274s ]
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003557s ]
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | INFO: Tag[ view_end ] --START--
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | INFO: Run ShowPageTrace Behavior [ RunTime:0.002212s ]
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | INFO: Tag[ view_end ] --END-- [ RunTime:0.002433s ]
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | INFO: Tag[ route_check ] --START--
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | INFO: Run CheckRoute Behavior [ RunTime:0.000899s ]
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001085s ]
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | INFO: Tag[ app_begin ] --START--
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001046s ]
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001219s ]
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | SQL: SHOW COLUMNS FROM `role` [ RunTime:0.041488s ]
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | NOTIC: [8] Undefined index: name RoleAction.class.php 第 5 行.
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | SQL: SHOW COLUMNS FROM `role` [ RunTime:0.002221s ]
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | SQL: SELECT COUNT(id) AS tp_count FROM `role` WHERE ( `name` LIKE '%%' ) LIMIT 1   [ RunTime:0.000317s ]
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | SQL: SELECT * FROM `role` WHERE ( `name` LIKE '%%' ) ORDER BY `id` desc LIMIT 0,20   [ RunTime:0.000700s ]
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | INFO: Tag[ view_template ] --START--
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | INFO: Run LocationTemplate Behavior [ RunTime:0.009306s ]
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | INFO: Tag[ view_template ] --END-- [ RunTime:0.009657s ]
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | INFO: Tag[ view_parse ] --START--
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | NOTIC: [8] Undefined index: _order 540802f0bd02d0614ae5d372827d97f4.php 第 3 行.
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | NOTIC: [8] Undefined index: _sort 540802f0bd02d0614ae5d372827d97f4.php 第 4 行.
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | NOTIC: [8] Undefined index: _order 540802f0bd02d0614ae5d372827d97f4.php 第 39 行.
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | NOTIC: [8] Undefined index: _order 540802f0bd02d0614ae5d372827d97f4.php 第 41 行.
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | NOTIC: [8] Use of undefined constant WEB_PUBLIC_PATH - assumed 'WEB_PUBLIC_PATH' common.php 第 70 行.
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | NOTIC: [8] Use of undefined constant WEB_PUBLIC_PATH - assumed 'WEB_PUBLIC_PATH' common.php 第 70 行.
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | NOTIC: [8] Use of undefined constant WEB_PUBLIC_PATH - assumed 'WEB_PUBLIC_PATH' common.php 第 70 行.
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | NOTIC: [8] Use of undefined constant WEB_PUBLIC_PATH - assumed 'WEB_PUBLIC_PATH' common.php 第 70 行.
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | INFO: Run ParseTemplate Behavior [ RunTime:0.085720s ]
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.085916s ]
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | INFO: Tag[ view_filter ] --START--
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | INFO: Run ContentReplace Behavior [ RunTime:0.000601s ]
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | INFO: Run TokenBuild Behavior [ RunTime:0.000828s ]
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000361s ]
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | INFO: Run ShowRuntime Behavior [ RunTime:0.001172s ]
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003428s ]
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | INFO: Tag[ view_end ] --START--
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001549s ]
[ 2012-08-21T14:30:28+08:00 ] /dwz_thinkphp3/Admin/index.php/Role/index/?_=1345530628476 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001778s ]
