[ 2012-08-23T10:27:55+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.136977s ]
[ 2012-08-23T10:27:55+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.137159s ]
[ 2012-08-23T10:27:55+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Tag[ view_filter ] --START--
[ 2012-08-23T10:27:55+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.022868s ]
[ 2012-08-23T10:27:55+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.010226s ]
[ 2012-08-23T10:27:55+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.007802s ]
[ 2012-08-23T10:27:55+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001735s ]
[ 2012-08-23T10:27:55+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.043267s ]
[ 2012-08-23T10:27:55+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Tag[ view_end ] --START--
[ 2012-08-23T10:27:55+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.005104s ]
[ 2012-08-23T10:27:55+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.005343s ]
[ 2012-08-23T10:27:55+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/verify/ | INFO: Tag[ route_check ] --START--
[ 2012-08-23T10:27:55+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.000923s ]
[ 2012-08-23T10:27:55+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001144s ]
[ 2012-08-23T10:27:55+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/verify/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-23T10:27:55+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000780s ]
[ 2012-08-23T10:27:55+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000975s ]
[ 2012-08-23T10:28:14+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Tag[ route_check ] --START--
[ 2012-08-23T10:28:14+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Run CheckRoute Behavior [ RunTime:0.001330s ]
[ 2012-08-23T10:28:14+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001592s ]
[ 2012-08-23T10:28:14+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-23T10:28:14+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001080s ]
